Name,GS,ID
Reiver Sanmartin*,4,sanmare01
Dennis Santana,0,santade01
Tony Santillan,0,santito01
Gregory Santos,0,santogr01
Tayler Saucedo*,0,sauceta01
Hirokazu Sawamura,0,sawamhi01
Josh Sborz,0,sborzjo01
Max Scherzer,8,scherma01
Clarke Schmidt,1,schmicl01
John Schreiber,0,schrejo01
Max Schrock,0,schroma01
Frank Schwindel,0,schwifr01
Tanner Scott*,0,scottta01
Tayler Scott,0,scottta02
Connor Seabold,2,seaboco01
JP Sears*,2,searsjp01
Cody Sedlock,0,sedloco01
Sam Selman*,0,selmasa01
Antonio Senzatela,13,senzaan01
Anderson Severino*,0,severan01
Luis Severino,14,severlu01
Paul Sewald,0,sewalpa01
Bryan Shaw,0,shawbr01
Justus Sheffield*,0,sheffju01
Chasen Shreve*,0,shrevch01
Chase Silseth,5,silsech01
Andrelton Simmons,0,simmoan01
Lucas Sims,0,simslu01
Brady Singer,9,singebr01
Tarik Skubal*,16,skubata01
Ethan Small*,1,smallet01
Devin Smeltzer*,10,smeltde01
Caleb Smith*,1,smithca03
Chad Smith,0,smithch12
Drew Smith,0,smithdr01
Joe Smith,0,smithjo05
Will Smith*,0,smithwi04
Drew Smyly*,9,smylydr01
Kirby Snead*,0,sneadki01
Blake Snell*,8,snellbl01
Collin Snider,0,snideco01
Nicklaus Snyder,0,snydeni01
Jared Solomon,0,solomja01
Gregory Soto*,0,sotogr01
Bennett Sousa*,0,sousabe01
Gabe Speier*,1,speiega01
Jeffrey Springs*,10,sprinje01
Locke St. John*,0,stjohlo01
Craig Stammen,0,stammcr01
Ryne Stanek,0,stanery01
Cody Stashak,0,stashco01
Josh Staumont,0,staumjo01
Drew Steckenrider,0,steckdr01
Justin Steele*,16,steelju01
Trevor Stephan,0,stephtr01
Jackson Stephens,0,stephja01
Robert Stephenson,0,stephro01
Eric Stout*,0,stouter01
Matt Strahm*,0,strahma01
Dee Strange-Gordon,0,gordode01
Stephen Strasburg,1,strasst01
Chris Stratton,0,stratch01
Hunter Strickland,0,strichu01
Spencer Strider,7,stridsp01
Ross Stripling,11,stripro01
Marcus Stroman,9,stromma01
Peter Strzelecki,0,strzepe01
Garrett Stubbs,0,stubbga01
Jose Suarez*,7,suarejo01
Ranger Suarez*,15,suarera01
Robert Suarez,0,suarero01
Beau Sulser,0,sulsebe01
Beau Sulser,0,sulsebe01
Beau Sulser,0,sulsebe01
Cole Sulser,0,sulseco01
Brent Suter*,0,suterbr01
Erik Swanson,0,swanser01
Matt Swarmer,5,swarmma01
Noah Syndergaard,12,syndeno01
Thomas Szapucki*,1,szaputh01
Jameson Taillon,15,taillja01
Domingo Tapia,0,tapiado01
Dillon Tate,0,tatedi01
Blake Taylor*,0,taylobl01
Ryan Tepera,0,teperry01
Jackson Tetreault,4,tetreja01
Caleb Thielbar*,0,thielca01
Keegan Thompson,10,thompke02
Mason Thompson,0,thompma02
Ryan Thompson,0,thompry02
Zach Thompson,13,thompza01
Zack Thompson*,1,thompza02
Tyler Thornburg,0,thornty01
Tyler Thornburg,0,thornty01
Tyler Thornburg,0,thornty01
Trent Thornton,0,thorntr01
Jesus Tinoco,0,tinocje01
Blake Treinen,0,treinbl01
Lou Trivino,0,trivilo01
Tanner Tully*,0,tullyta01
Kyle Tyler,0,tylerky01
Edwin Uceta,0,ucetaed01
Duane Underwood Jr.,0,underdu01
Jose Urena,0,urenajo01
Julio Urias*,16,uriasju01
Jose Urquidy,15,urquijo01
Cesar Valdez,0,valdece01
Framber Valdez*,16,valdefr01
Phillips Valdez,0,valdeph01
Josh VanMeter,0,vanmejo01
Andrew Vasquez*,0,vasquan02
Vince Velasquez,8,velasvi01
Drew VerHagen,0,verhadr01
Justin Verlander,15,verlaju01
Alex Vesia*,0,vesiaal01
Nick Vespi*,0,vespini01
Will Vest,0,vestwi01
Cam Vieaux*,0,vieauca01
Arodys Vizcaino,0,vizcaar01
Austin Voth,3,vothau01
Austin Voth,0,vothau01
Austin Voth,3,vothau01
Michael Wacha,13,wachami01
Adam Wainwright,16,wainwad01
Taijuan Walker,14,walketa01
Jake Walsh,0,walshja02
Donovan Walton,0,waltodo01
Andrew Wantz,1,wantzan01
Art Warren,0,warrear01
Austin Warren,0,warreau01
Spenser Watkins,10,watkisp01
Ryan Weathers*,1,weathry01
Luke Weaver,1,weavelu01
Logan Webb,16,webblo01
Ryan Weber,0,weberry01
Jordan Weems,0,weemsjo01
Alexander Wells*,0,wellsal01
Tyler Wells,16,wellsty01
J.B. Wendelken,0,wendejb01
Joey Wentz*,2,wentzjo01
Zack Wheeler,15,wheelza01
Mitch White,6,whitemi03
Kodi Whitley,0,whitlko01
Garrett Whitlock,9,whitlga01
Rowan Wick,0,wickro01
Taylor Widener,0,widenta01
Devin Williams,0,willide03
Trevor Williams,7,willitr01
Bryse Wilson,7,wilsobr02
Justin Wilson*,0,wilsoju10
Steven Wilson,0,wilsost02
Josh Winckowski,5,winckjo01
Josh Winder,4,windejo01
Matt Wisler,4,wislema01
Nick Wittgren,0,wittgni01
Alex Wood*,15,woodal02
Jake Woodford,0,woodfja01
Brandon Woodruff,11,woodrbr01
William Woods,0,woodswi02
Kyle Wright,16,wrighky01
Austin Wynns,0,wynnsau01
Jimmy Yacabonis,0,yacabji01
Miguel Yajure,1,yajurmi01
Ryan Yarbrough*,6,yarbrry01
Huascar Ynoa,2,ynoahu01
Alex Young*,0,youngal01
Danny Young*,0,youngda02
Aneurys Zabala,0,zabalan01
Bruce Zimmermann*,13,zimmebr02
