name,opp,venue,lower,upper
MacKenzie Gore,NYY,home,4.158790531146018,6.875172933515588
Marco Gonzales,NYY,home,2.188672221743787,4.6653072691185535
Tony Gonsolin,NYY,home,3.9789878073465816,6.546193092611284
Austin Gomber,NYY,home,2.706122074161364,5.25384576171135
Lucas Giolito,NYY,home,5.4493391441161565,8.052890342985407
Logan Gilbert,NYY,home,4.573300054886435,6.988625191029399
Kyle Gibson,NYY,home,3.2963916615034528,5.790720119281104
Kevin Gausman,NYY,home,5.575381769459588,8.009761965393599
Luis Garcia,NYY,home,4.949106997299561,7.4444788994217355
Zac Gallen,NYY,home,4.073796621811949,6.640909510489223
Max Fried,NYY,home,4.941818805672094,7.38744622760742
Kyle Freeland,NYY,home,2.8194940984417123,5.3235973704324095
Chris Flexen,NYY,home,3.2947638527794756,5.7730825710306934
Erick Fedde,NYY,home,2.8846839341373887,5.379705336807415
Alex Faedo,NYY,home,2.8159330283349693,5.70157626366696
Nathan Eovaldi,NYY,home,4.977487398718505,7.714972117017311
Zach Eflin,NYY,home,3.2287225412528944,5.943914076063322
Dane Dunning,NYY,home,4.014912630937177,6.395424768434257
Reid Detmers,NYY,home,2.691121300740091,5.4290618887158395
Zach Davies,NYY,home,3.1384684612788014,5.701540580571928
Yu Darvish,NYY,home,4.5423578505612445,7.11492821959846
Johnny Cueto,NYY,home,3.559943412840695,6.506917214674674
Nestor Cortes,NYY,home,5.357705200438319,7.895574783077933
Patrick Corbin,NYY,home,3.657623644455964,6.103520168488054
Roansy Contreras,NYY,home,2.877105790475423,5.782288306264083
Gerrit Cole,NYY,home,6.556702128927788,9.026762319681358
Alex Cobb,NYY,home,4.015611249102621,6.818567588694785
Aaron Civale,NYY,home,3.3412939880803387,6.251569162977742
Dylan Cease,NYY,home,6.905802580530329,9.339022259399565
Luis Castillo,NYY,home,4.87778979443581,7.77259308190446
Humberto Castellanos,NYY,home,1.5490013547263708,4.463283296033022
Carlos Carrasco,NYY,home,4.794567853225421,7.281518617585472
Corbin Burnes,NYY,home,6.8399526072826875,9.28644891014192
Dylan Bundy,NYY,home,3.03797073542962,5.6101492662489045
Madison Bumgarner,NYY,home,2.584215893807403,5.027494527896113
Walker Buehler,NYY,home,3.656774463279714,6.4537880761092055
Kris Bubic,NYY,home,2.02740729904086,4.7611952511836115
JT Brubaker,NYY,home,4.159374737946448,6.670381497953692
Beau Brieske,NYY,home,2.5980766507483812,5.242318583830284
Kyle Bradish,NYY,home,3.5661037581220656,6.514179672583221
Paul Blackburn,NYY,home,3.4362895506114848,5.879116691036725
Shane Bieber,NYY,home,5.2295161609487115,7.700631701350324
Jose Berrios,NYY,home,3.558845327639303,5.906417187347386
Chris Bassitt,NYY,home,5.37923824844061,7.944783604122191
Graham Ashcraft,NYY,home,2.137566212169477,5.290891220704076
Aaron Ashby,NYY,home,3.933996599621275,6.510384983817098
Chris Archer,NYY,home,2.3346920166396505,4.833376614950243
Tyler Anderson,NYY,home,3.912646540981237,6.4728503370767445
Ian Anderson,NYY,home,3.3734366018827746,5.868136888150566
Sandy Alcantara,NYY,home,5.58990883470634,8.037260710528153
Joan Adon,NYY,home,2.6321194896005715,5.34628697921638
Bruce Zimmermann,LAA,home,3.311720116028335,5.932260351026564
Kyle Wright,LAA,home,5.798949528844469,8.232861860013783
Brandon Woodruff,LAA,home,6.056069353515594,8.924204177856934
Alex Wood,LAA,home,4.563895565287174,7.003060297191855
Garrett Whitlock,LAA,home,3.388068984554284,5.960642299894522
Zack Wheeler,LAA,home,6.283912388566313,8.751511381039318
Tyler Wells,LAA,home,3.15680529469914,5.58197173519992
Logan Webb,LAA,home,5.434298242829286,7.870837679270233
Spenser Watkins,LAA,home,1.9605453584320618,4.7566289267438995
Taijuan Walker,LAA,home,4.264003777668048,6.822373950899607
Adam Wainwright,LAA,home,4.6740175248460005,7.120100713208922
Michael Wacha,LAA,home,3.661224494414334,6.242284612459541
Justin Verlander,LAA,home,5.982176226718593,8.447577038420217
Vince Velasquez,LAA,home,2.7955913446254708,5.316813404109311
Framber Valdez,LAA,home,5.658193447535747,7.998693546424435
Jose Urquidy,LAA,home,4.137568720209213,6.573162258814534
Julio Urias,LAA,home,5.11550350775531,7.561871879388894
Zach Thompson,LAA,home,2.600274636722517,5.176971455502819
Keegan Thompson,LAA,home,3.395667577930395,5.711192267791478
Jameson Taillon,LAA,home,4.526015196594036,6.925910945416884
Noah Syndergaard,LAA,home,3.9710145271614943,6.608902928223682
Ranger Suarez,LAA,home,3.9226675598362952,6.4221434554334635
Marcus Stroman,LAA,home,4.515070368277048,7.622434508872024
Ross Stripling,LAA,home,2.629706725326142,4.836095586382383
Justin Steele,LAA,home,4.315694099111861,6.767360131892556
Jeffrey Springs,LAA,home,3.5537349599906722,5.791530988755797
Blake Snell,LAA,home,5.315957442578215,8.433395220374642
Drew Smyly,LAA,home,2.935197469505317,6.0643213478334115
Devin Smeltzer,LAA,home,3.249128852163807,6.212775261991601
Tarik Skubal,LAA,home,5.625993499282422,8.040366358580576
Brady Singer,LAA,home,4.685941572182967,7.41603627061223
Luis Severino,LAA,home,6.2074640036638336,8.693350071205519
Antonio Senzatela,LAA,home,2.1339884685639054,4.7798304777642295
Max Scherzer,LAA,home,7.711003408554749,10.831623703596893
Patrick Sandoval,LAA,home,5.773473875991538,8.409100124818401
Joe Ryan,LAA,home,4.902768510006064,7.5413231893141734
Trevor Rogers,LAA,home,4.103598885786021,6.527437151917135
Eduardo Rodriguez,LAA,home,3.7442929695802105,6.999192919012827
Carlos Rodon,LAA,home,6.806951959726607,9.239925711583187
Robbie Ray,LAA,home,6.748606515029127,9.081666316821854
Drew Rasmussen,LAA,home,3.735667409761442,6.373515135082034
Jose Quintana,LAA,home,4.302633053713877,6.738118290584365
Cal Quantrill,LAA,home,3.4175810719351327,5.867611199431317
Zach Plesac,LAA,home,3.7728752311850524,6.23034574293972
Nick Pivetta,LAA,home,5.6342961924645785,7.971863990071235
David Peterson,LAA,home,4.6268629746574295,7.249884986943137
Martin Perez,LAA,home,5.133705976574691,7.524643775368724
Freddy Peralta,LAA,home,5.6268419431092065,8.907526322880884
Glenn Otto,LAA,home,3.486529481510223,6.283053967036427
Shohei Ohtani,LAA,home,7.95309468261376,10.506600506032697
Jake Odorizzi,LAA,home,2.388895046169501,5.576499605559127
Aaron Nola,LAA,home,6.923809535768742,9.305929502711377
Joe Musgrove,LAA,home,6.023923880076946,8.608262529606463
Charlie Morton,LAA,home,6.004254427942889,8.452011904505207
Jordan Montgomery,LAA,home,4.319959874876591,6.71860317001278
Frankie Montas,LAA,home,5.832455674468965,8.137873114915912
Miles Mikolas,LAA,home,4.601270370685935,6.982543838947743
Tylor Megill,LAA,home,4.790348097024743,7.8677671302566745
Triston McKenzie,LAA,home,5.160349919841799,7.622974170894755
Shane McClanahan,LAA,home,8.027904026001817,10.413227674267734
Steven Matz,LAA,home,4.341555591760152,7.453195311930708
Nick Martinez,LAA,home,3.806893982492641,6.318156222830471
German Marquez,LAA,home,4.632765377473376,7.071705367226096
Alek Manoah,LAA,home,5.506412889805522,7.900539414519687
Sean Manaea,LAA,home,5.671763363946431,8.18134104193666
Tyler Mahle,LAA,home,5.722804093393435,8.104322056314597
Daniel Lynch,LAA,home,4.83026966045593,7.445123851225769
Jordan Lyles,LAA,home,4.862944039668189,7.292052903501693
Michael Lorenzen,LAA,home,4.311935414453057,6.947561663279943
Pablo Lopez,LAA,home,6.02693959732729,8.468312711643026
Eric Lauer,LAA,home,5.759522399494779,8.268588418794254
Chad Kuhl,LAA,home,3.5903192674663513,6.0861734964772625
Michael Kopech,LAA,home,4.287269341327414,6.738383911004111
Corey Kluber,LAA,home,4.329092731086153,6.72446020814394
George Kirby,LAA,home,4.803514098649661,7.612068498032585
Yusei Kikuchi,LAA,home,4.4514965938946265,6.8482007108824625
Dallas Keuchel,LAA,home,2.689924593239005,5.607575855285018
Clayton Kershaw,LAA,home,5.333854035706083,8.297390552444144
Merrill Kelly,LAA,home,4.466423149046399,6.841477214841209
Mitch Keller,LAA,home,4.033056842572039,6.467969139601928
Brad Keller,LAA,home,3.7157013036709277,6.135318189674447
James Kaprielian,LAA,home,3.172848558078346,5.818622733285247
Daulton Jefferies,LAA,home,2.83181115575557,6.053239121493039
